Id,Nome,Posi��o,Rating,Apari��es,Gols,Assist�ncias,G+A,Gols_Falta,Frequ�ncia_Marcando,Chutes_Totais,Chutes_no_Gols,Grandes_Chances_Perdidas,Grandes_Chances_Criadas,Passe_Certos,Passes_Chaves,Passes_Longos_Certos,Dribles_Certos,Carrinhos,Intercepta��es,Afastamentos,Posse_Perdida,Cart�es_Amarelos,Cart�es_Vermelhos,Gols_Penalti,Penaltis_Batidos,Penaltis_Sofridos,Porcentagem_Passes_Certos,Porcentagem_Dribles_Certos,Temporada,Liga
830431,Francisco Trinc�o,F,6.664285714,28,3,2,5,0,230.6666667,23,12,5,0,321,8,4,27,4,1,2,121,1,0,0,0,0,86.29032258,60,20/21,La Liga
66471,Martin Braithwaite,F,6.613793103,29,2,2,4,0,590.5,23,7,8,3,227,12,4,9,8,6,6,110,3,0,0,1,0,82.24637681,56.25,20/21,La Liga
69256,Kieran Trippier,D,7.292857143,28,0,6,6,0,0,3,1,0,7,1183,35,66,19,61,40,47,450,0,0,0,0,0,79.39597315,76,20/21,La Liga
316148,Thomas Partey,M,7.266666667,3,0,0,0,0,0,5,0,0,0,196,0,20,7,7,2,1,28,1,0,0,0,0,89.09090909,87.5,20/21,La Liga
16943,Luis Su�rez,F,7.246875,32,21,3,24,1,119.952381,104,43,11,5,413,27,20,13,11,5,13,282,6,0,3,3,2,71.82608696,39.39393939,20/21,La Liga
12994,Lionel Messi,F,8.427272727,33,25,21,46,5,115.2,159,71,13,36,1631,90,71,182,21,7,1,703,4,0,5,5,1,82.58227848,69.20152091,19/20,La Liga
39433,Sergio Busquets,M,7.227272727,33,2,2,4,0,1245.5,10,4,1,5,2315,23,108,23,80,44,21,304,10,0,0,0,0,89.90291262,85.18518519,19/20,La Liga
16943,Luis Su�rez,F,7.171428571,28,16,8,24,0,125.0625,79,42,15,4,494,26,24,23,4,1,11,254,4,0,1,1,0,75.5351682,48.93617021,19/20,La Liga
770,Gerard Piqu�,D,7.122857143,35,1,0,1,0,3096,14,7,4,0,2460,5,151,6,32,36,150,249,15,0,0,0,0,91.75680716,75,19/20,La Liga
796086,Moussa Wagu�,D,7.1,1,0,0,0,0,0,0,0,0,0,52,0,3,3,2,1,0,19,0,0,0,0,0,88.13559322,100,19/20,La Liga
35199,Jordi Alba,D,7.081481481,27,2,5,7,0,1095,7,3,2,8,1691,30,64,12,20,37,28,324,7,0,0,0,0,88.62683438,57.14285714,19/20,La Liga
85859,Antoine Griezmann,F,7.047058824,35,9,4,13,0,284.5555556,55,23,8,8,914,35,31,20,33,12,19,302,2,0,0,0,0,81.8263205,58.82352941,19/20,La Liga
794927,Arthur,M,7.033333333,21,3,3,6,0,398,8,5,1,4,931,12,39,31,15,4,5,149,1,0,0,0,0,91.54375615,91.17647059,19/20,La Liga
123976,Sergi Roberto,D,6.986666667,30,1,2,3,0,2341,6,2,1,3,1848,25,34,17,35,33,33,261,7,0,0,0,0,91.75769613,65.38461538,19/20,La Liga
580550,Cl�ment Lenglet,D,6.985714286,28,2,1,3,0,1214,10,3,1,1,1976,6,107,5,44,35,74,183,7,2,0,0,0,92.3364486,50,19/20,La Liga
795222,Frenkie de Jong,M,6.979310345,29,2,2,4,0,1060.5,4,4,0,2,1502,25,60,46,26,21,9,214,1,1,0,0,0,91.80929095,80.70175439,19/20,La Liga
901842,Riqui Puig,M,6.927272727,11,0,2,2,0,0,8,5,1,3,382,10,16,12,11,5,1,58,1,0,0,0,0,90.52132701,92.30769231,19/20,La Liga
18342,Arturo Vidal,M,6.918181818,33,8,2,10,0,208125,25,14,5,6,1080,23,44,8,63,17,12,201,4,0,0,0,0,88.3797054,57.14285714,19/20,La Liga
88625,Marc-Andr� ter Stegen,G,6.894444444,36,0,2,2,0,0,0,0,0,2,1083,2,0,0,2,2,26,180,1,0,0,0,0,86.43256185,0,19/20,La Liga
7635,Ivan Rakiti?,M,6.89,31,1,3,4,0,1588,24,7,2,1,1307,18,54,10,27,15,16,215,5,0,0,0,0,90.0137741,58.82352941,19/20,La Liga
818244,Ousmane Demb�l�,F,6.88,5,1,0,1,0,358,5,2,2,1,184,8,13,14,2,0,0,102,1,1,0,0,0,77.96610169,46.66666667,19/20,La Liga
96547,Samuel Umtiti,D,6.869230769,13,0,0,0,0,0,0,0,0,0,740,0,26,8,11,22,32,72,6,0,0,0,0,92.15442092,80,19/20,La Liga
252821,N�lson Semedo,M,6.853125,32,1,2,3,0,2098,8,2,0,3,1326,12,52,48,51,22,22,278,2,0,0,0,2,89.47368421,70.58823529,19/20,La Liga
66471,Martin Braithwaite,F,6.785714286,35,7,2,9,0,334.7142857,55,26,10,5,344,17,8,43,15,5,9,274,4,0,0,1,0,70.63655031,69.35483871,19/20,La Liga
925097,Ronald Ara�jo,D,6.78,6,0,0,0,0,0,1,0,1,0,194,0,6,1,3,0,8,14,0,1,0,0,0,93.71980676,100,19/20,La Liga
914835,Junior Firpo,D,6.776470588,17,1,1,2,0,1022,4,1,0,0,657,10,12,9,23,17,9,116,5,0,0,0,0,88.78378378,52.94117647,19/20,La Liga
